"B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M","GEO_ID","NAME"
"54.1","8.6","54.4","8.3","51.8","13.7","1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland"
"50.5","9.3","42.8","13.8","54.1","6.9","1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland"
"51.3","5.1","52.0","7.9","44.9","10.6","1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland"
"42.6","4.3","40.3","9.4","46.3","4.0","1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland"
"36.8","7.5","33.8","4.3","41.0","11.3","1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland"
"43.2","9.1","48.1","6.6","36.2","17.1","1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland"
"37.6","6.2","35.6","8.3","41.7","7.8","1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland"
"35.6","7.2","35.1","8.2","35.9","13.6","1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland"
"34.1","3.5","32.3","3.9","34.8","7.3","1500000US240037022061","Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland"
"33.9","7.0","30.7","3.5","48.8","4.5","1500000US240037022062","Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland"
"28.8","9.2","26.5","8.7","33.4","4.8","1500000US240037022063","Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland"
"39.1","6.0","34.2","5.6","40.3","9.9","1500000US240037022081","Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland"
"39.8","6.8","36.1","22.5","40.4","5.3","1500000US240037022082","Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland"
"34.3","2.7","37.0","5.4","33.5","2.1","1500000US240037022083","Block Group 3, Census Tract 7022.08, Anne Arundel County, Maryland"
"36.3","6.6","37.1","8.3","32.9","11.1","1500000US240037022091","Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland"
"35.7","4.7","37.9","7.9","35.2","13.0","1500000US240037022092","Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland"
"33.9","5.4","34.1","7.1","33.8","7.5","1500000US240037022093","Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland"
"52.0","6.0","49.4","12.7","52.7","5.4","1500000US240037023001","Block Group 1, Census Tract 7023, Anne Arundel County, Maryland"
"51.7","4.4","54.1","6.0","46.5","10.1","1500000US240037023002","Block Group 2, Census Tract 7023, Anne Arundel County, Maryland"
"40.4","2.4","40.1","4.5","40.9","9.8","1500000US240037023003","Block Group 3, Census Tract 7023, Anne Arundel County, Maryland"
"34.4","12.2","37.3","11.5","30.6","11.3","1500000US240037024021","Block Group 1, Census Tract 7024.02, Anne Arundel County, Maryland"
"61.9","3.2","58.3","11.3","62.6","2.9","1500000US240037024022","Block Group 2, Census Tract 7024.02, Anne Arundel County, Maryland"
"61.3","10.5","60.4","8.2","66.5","10.1","1500000US240037024023","Block Group 3, Census Tract 7024.02, Anne Arundel County, Maryland"
"39.4","5.4","42.6","15.1","34.9","8.7","1500000US240037024024","Block Group 4, Census Tract 7024.02, Anne Arundel County, Maryland"
"25.6","9.9","25.6","25.2","25.6","14.1","1500000US240037025001","Block Group 1, Census Tract 7025, Anne Arundel County, Maryland"
"35.7","34.4","32.7","35.2","37.2","38.2","1500000US240037025002","Block Group 2, Census Tract 7025, Anne Arundel County, Maryland"
"37.0","10.0","35.5","4.2","45.1","6.3","1500000US240037025003","Block Group 3, Census Tract 7025, Anne Arundel County, Maryland"
"40.9","8.8","42.0","14.5","40.0","9.2","1500000US240037025004","Block Group 4, Census Tract 7025, Anne Arundel County, Maryland"
"37.6","8.3","41.0","13.9","36.7","6.6","1500000US240037026011","Block Group 1, Census Tract 7026.01, Anne Arundel County, Maryland"
"44.9","7.5","44.8","13.9","46.1","12.1","1500000US240037026012","Block Group 2, Census Tract 7026.01, Anne Arundel County, Maryland"
"61.0","10.3","66.2","17.5","59.9","16.1","1500000US240037026013","Block Group 3, Census Tract 7026.01, Anne Arundel County, Maryland"
"39.4","7.1","38.8","15.9","39.6","6.4","1500000US240037026014","Block Group 4, Census Tract 7026.01, Anne Arundel County, Maryland"
"50.0","3.7","49.4","5.4","51.6","2.7","1500000US240037026021","Block Group 1, Census Tract 7026.02, Anne Arundel County, Maryland"
"49.3","9.9","38.3","23.2","54.2","9.4","1500000US240037026022","Block Group 2, Census Tract 7026.02, Anne Arundel County, Maryland"
"43.1","4.4","44.0","17.3","43.0","1.8","1500000US240037026023","Block Group 3, Census Tract 7026.02, Anne Arundel County, Maryland"
"38.7","11.6","38.9","13.4","36.8","14.4","1500000US240037026024","Block Group 4, Census Tract 7026.02, Anne Arundel County, Maryland"
"51.5","6.2","48.6","11.0","52.4","9.1","1500000US240037027021","Block Group 1, Census Tract 7027.02, Anne Arundel County, Maryland"
"52.5","3.0","50.4","3.3","55.3","2.1","1500000US240037027022","Block Group 2, Census Tract 7027.02, Anne Arundel County, Maryland"
"43.3","3.6","39.2","19.8","43.5","1.0","1500000US240037027031","Block Group 1, Census Tract 7027.03, Anne Arundel County, Maryland"
"41.3","12.6","35.3","7.1","48.7","12.6","1500000US240037027032","Block Group 2, Census Tract 7027.03, Anne Arundel County, Maryland"
"41.4","6.8","39.6","10.3","49.1","19.2","1500000US240037027041","Block Group 1, Census Tract 7027.04, Anne Arundel County, Maryland"
"35.7","14.6","44.2","19.0","35.3","9.3","1500000US240037027042","Block Group 2, Census Tract 7027.04, Anne Arundel County, Maryland"
"53.8","6.6","48.5","11.9","59.7","4.7","1500000US240037061021","Block Group 1, Census Tract 7061.02, Anne Arundel County, Maryland"
"26.5","16.7","7.8","25.1","40.1","16.0","1500000US240037061022","Block Group 2, Census Tract 7061.02, Anne Arundel County, Maryland"
"24.3","2.3","25.1","2.1","23.1","4.6","1500000US240037061031","Block Group 1, Census Tract 7061.03, Anne Arundel County, Maryland"
"36.7","5.6","36.7","19.0","37.0","5.7","1500000US240037061032","Block Group 2, Census Tract 7061.03, Anne Arundel County, Maryland"
"53.7","13.5","46.6","16.0","58.6","9.5","1500000US240037063021","Block Group 1, Census Tract 7063.02, Anne Arundel County, Maryland"
"48.4","7.9","45.6","13.6","50.5","10.3","1500000US240037063022","Block Group 2, Census Tract 7063.02, Anne Arundel County, Maryland"
"54.4","9.6","53.5","11.5","55.8","10.0","1500000US240037063023","Block Group 3, Census Tract 7063.02, Anne Arundel County, Maryland"
"36.8","24.2","33.4","4.4","53.6","21.5","1500000US240037063031","Block Group 1, Census Tract 7063.03, Anne Arundel County, Maryland"
"69.5","6.2","71.4","19.7","69.1","5.3","1500000US240037063032","Block Group 2, Census Tract 7063.03, Anne Arundel County, Maryland"
"42.0","15.7","49.0","30.3","41.6","10.5","1500000US240037063041","Block Group 1, Census Tract 7063.04, Anne Arundel County, Maryland"
"63.8","9.1","59.9","18.5","64.3","9.0","1500000US240037063042","Block Group 2, Census Tract 7063.04, Anne Arundel County, Maryland"
"55.2","11.4","49.7","13.0","57.8","7.0","1500000US240037064021","Block Group 1, Census Tract 7064.02, Anne Arundel County, Maryland"
"41.1","9.3","37.6","7.6","44.2","14.5","1500000US240037064022","Block Group 2, Census Tract 7064.02, Anne Arundel County, Maryland"
"33.1","2.5","34.4","3.1","31.0","3.8","1500000US240037064031","Block Group 1, Census Tract 7064.03, Anne Arundel County, Maryland"
"27.2","3.5","26.7","2.9","29.1","5.9","1500000US240037064032","Block Group 2, Census Tract 7064.03, Anne Arundel County, Maryland"
"15.8","29.0","24.5","0.2","4.6","0.2","1500000US240037064041","Block Group 1, Census Tract 7064.04, Anne Arundel County, Maryland"
"44.2","3.8","44.7","2.0","42.6","9.4","1500000US240037064042","Block Group 2, Census Tract 7064.04, Anne Arundel County, Maryland"
"29.6","12.2","24.6","14.9","34.7","7.2","1500000US240037065001","Block Group 1, Census Tract 7065, Anne Arundel County, Maryland"
"39.6","11.7","33.0","8.4","44.1","9.4","1500000US240037065002","Block Group 2, Census Tract 7065, Anne Arundel County, Maryland"
"47.9","8.6","48.1","7.3","43.6","14.1","1500000US240037065003","Block Group 3, Census Tract 7065, Anne Arundel County, Maryland"
"39.3","6.1","47.0","27.8","38.1","6.6","1500000US240037066001","Block Group 1, Census Tract 7066, Anne Arundel County, Maryland"
"41.1","8.4","41.1","8.9","42.0","10.7","1500000US240037066002","Block Group 2, Census Tract 7066, Anne Arundel County, Maryland"
"14.9","28.5","14.6","7.6","29.4","18.0","1500000US240037066003","Block Group 3, Census Tract 7066, Anne Arundel County, Maryland"
"46.3","8.7","47.3","14.8","46.0","7.7","1500000US240037066004","Block Group 4, Census Tract 7066, Anne Arundel County, Maryland"
"21.4","0.5","21.5","0.4","20.9","0.6","1500000US240037067001","Block Group 1, Census Tract 7067, Anne Arundel County, Maryland"
"43.5","10.7","50.9","6.8","35.4","15.1","1500000US240037070011","Block Group 1, Census Tract 7070.01, Anne Arundel County, Maryland"
"54.9","5.9","54.2","3.5","61.2","14.1","1500000US240037070012","Block Group 2, Census Tract 7070.01, Anne Arundel County, Maryland"
"38.0","12.5","32.4","14.2","38.9","13.4","1500000US240037070013","Block Group 3, Census Tract 7070.01, Anne Arundel County, Maryland"
"41.4","4.1","44.5","22.2","41.4","2.3","1500000US240037070014","Block Group 4, Census Tract 7070.01, Anne Arundel County, Maryland"
"43.6","7.1","44.4","8.9","42.9","9.9","1500000US240037070021","Block Group 1, Census Tract 7070.02, Anne Arundel County, Maryland"
"47.5","15.8","35.7","26.6","47.9","16.8","1500000US240037070022","Block Group 2, Census Tract 7070.02, Anne Arundel County, Maryland"
"49.4","7.9","53.1","4.1","34.6","11.7","1500000US240037070023","Block Group 3, Census Tract 7070.02, Anne Arundel County, Maryland"
"38.6","19.6","36.6","17.4","46.1","21.0","1500000US240037080011","Block Group 1, Census Tract 7080.01, Anne Arundel County, Maryland"
"48.1","13.1","39.7","16.9","50.8","8.5","1500000US240037080012","Block Group 2, Census Tract 7080.01, Anne Arundel County, Maryland"
"27.3","4.4","24.6","5.3","30.0","10.8","1500000US240037080041","Block Group 1, Census Tract 7080.04, Anne Arundel County, Maryland"
"37.0","16.6","25.6","14.7","40.5","8.4","1500000US240037080042","Block Group 2, Census Tract 7080.04, Anne Arundel County, Maryland"
"35.2","15.3","44.3","26.8","35.0","17.9","1500000US240037080043","Block Group 3, Census Tract 7080.04, Anne Arundel County, Maryland"
"47.8","14.8","51.4","16.6","42.8","20.7","1500000US240037080044","Block Group 4, Census Tract 7080.04, Anne Arundel County, Maryland"
"54.3","5.1","55.6","9.9","52.2","3.9","1500000US240037301011","Block Group 1, Census Tract 7301.01, Anne Arundel County, Maryland"
"32.1","1.8","32.2","3.3","32.0","3.0","1500000US240037301021","Block Group 1, Census Tract 7301.02, Anne Arundel County, Maryland"
"29.9","12.6","37.0","9.5","27.5","15.9","1500000US240037301022","Block Group 2, Census Tract 7301.02, Anne Arundel County, Maryland"
"29.3","1.9","28.3","3.9","31.1","3.9","1500000US240037301023","Block Group 3, Census Tract 7301.02, Anne Arundel County, Maryland"
"41.1","1.1","42.0","4.1","40.8","2.6","1500000US240037302041","Block Group 1, Census Tract 7302.04, Anne Arundel County, Maryland"
"44.4","11.4","42.9","14.3","52.5","17.0","1500000US240037302042","Block Group 2, Census Tract 7302.04, Anne Arundel County, Maryland"
"34.0","16.5","27.2","25.6","34.4","14.9","1500000US240037302043","Block Group 3, Census Tract 7302.04, Anne Arundel County, Maryland"
"44.1","3.5","42.3","10.0","46.2","5.8","1500000US240037302044","Block Group 4, Census Tract 7302.04, Anne Arundel County, Maryland"
"47.1","7.4","45.6","12.5","48.0","11.3","1500000US240037302051","Block Group 1, Census Tract 7302.05, Anne Arundel County, Maryland"
"29.0","2.0","28.7","4.1","29.2","3.9","1500000US240037302052","Block Group 2, Census Tract 7302.05, Anne Arundel County, Maryland"
"57.9","7.7","57.2","8.5","63.5","9.5","1500000US240037302061","Block Group 1, Census Tract 7302.06, Anne Arundel County, Maryland"
"31.2","2.9","31.4","5.7","31.1","4.6","1500000US240037302062","Block Group 2, Census Tract 7302.06, Anne Arundel County, Maryland"
"29.8","21.2","30.0","27.0","29.8","31.5","1500000US240037302063","Block Group 3, Census Tract 7302.06, Anne Arundel County, Maryland"
"34.5","4.3","39.0","5.2","30.8","5.3","1500000US240037303001","Block Group 1, Census Tract 7303, Anne Arundel County, Maryland"
"49.3","6.9","51.1","8.3","47.5","9.6","1500000US240037303002","Block Group 2, Census Tract 7303, Anne Arundel County, Maryland"
"54.3","20.7","33.0","15.2","61.4","15.4","1500000US240037304011","Block Group 1, Census Tract 7304.01, Anne Arundel County, Maryland"
"28.6","6.3","21.8","4.9","35.2","5.8","1500000US240037304012","Block Group 2, Census Tract 7304.01, Anne Arundel County, Maryland"
"44.7","5.0","40.8","8.5","48.4","11.2","1500000US240037304013","Block Group 3, Census Tract 7304.01, Anne Arundel County, Maryland"
"27.6","6.8","27.6","8.9","27.2","12.1","1500000US240037304031","Block Group 1, Census Tract 7304.03, Anne Arundel County, Maryland"
"39.6","7.9","32.9","15.7","44.6","9.9","1500000US240037304032","Block Group 2, Census Tract 7304.03, Anne Arundel County, Maryland"
"53.5","30.2","31.8","30.1","62.2","13.5","1500000US240037304033","Block Group 3, Census Tract 7304.03, Anne Arundel County, Maryland"
"37.0","14.0","40.6","20.7","32.7","11.6","1500000US240037304041","Block Group 1, Census Tract 7304.04, Anne Arundel County, Maryland"
"41.2","9.3","48.0","10.2","36.6","8.1","1500000US240037305071","Block Group 1, Census Tract 7305.07, Anne Arundel County, Maryland"
"43.3","4.0","44.4","5.8","41.9","5.6","1500000US240037305072","Block Group 2, Census Tract 7305.07, Anne Arundel County, Maryland"
"37.0","33.7","31.7","32.7","49.6","17.7","1500000US240037305081","Block Group 1, Census Tract 7305.08, Anne Arundel County, Maryland"
"38.4","4.1","39.4","11.4","38.0","2.6","1500000US240037305082","Block Group 2, Census Tract 7305.08, Anne Arundel County, Maryland"
"30.0","5.1","26.5","8.9","41.7","9.8","1500000US240037305091","Block Group 1, Census Tract 7305.09, Anne Arundel County, Maryland"
"42.0","4.6","39.6","7.8","44.1","10.0","1500000US240037305092","Block Group 2, Census Tract 7305.09, Anne Arundel County, Maryland"
"33.2","16.7","36.4","18.9","27.1","20.3","1500000US240037305093","Block Group 3, Census Tract 7305.09, Anne Arundel County, Maryland"
"35.9","10.9","35.1","9.1","40.2","15.2","1500000US240037305101","Block Group 1, Census Tract 7305.10, Anne Arundel County, Maryland"
"35.8","11.9","38.6","12.3","33.3","13.2","1500000US240037305102","Block Group 2, Census Tract 7305.10, Anne Arundel County, Maryland"
"35.3","8.7","25.3","1.5","48.1","11.5","1500000US240037305111","Block Group 1, Census Tract 7305.11, Anne Arundel County, Maryland"
"29.6","2.3","28.3","17.0","30.8","9.0","1500000US240037305121","Block Group 1, Census Tract 7305.12, Anne Arundel County, Maryland"
"36.4","5.1","36.3","9.3","36.5","10.7","1500000US240037305122","Block Group 2, Census Tract 7305.12, Anne Arundel County, Maryland"
"38.5","7.1","46.8","8.8","35.5","7.6","1500000US240037305131","Block Group 1, Census Tract 7305.13, Anne Arundel County, Maryland"
"48.8","5.1","30.6","14.9","50.7","10.7","1500000US240037305132","Block Group 2, Census Tract 7305.13, Anne Arundel County, Maryland"
"31.0","5.0","33.0","5.5","27.6","4.1","1500000US240037305141","Block Group 1, Census Tract 7305.14, Anne Arundel County, Maryland"
"32.2","8.2","19.4","5.6","36.9","8.4","1500000US240037305142","Block Group 2, Census Tract 7305.14, Anne Arundel County, Maryland"
"43.5","11.6","42.2","13.2","45.2","11.2","1500000US240037306011","Block Group 1, Census Tract 7306.01, Anne Arundel County, Maryland"
"48.4","22.0","34.3","31.8","57.1","12.2","1500000US240037306012","Block Group 2, Census Tract 7306.01, Anne Arundel County, Maryland"
"42.2","10.3","42.9","12.3","40.5","17.3","1500000US240037306013","Block Group 3, Census Tract 7306.01, Anne Arundel County, Maryland"
"40.1","2.5","36.8","23.4","42.6","4.0","1500000US240037306014","Block Group 4, Census Tract 7306.01, Anne Arundel County, Maryland"
"40.8","8.6","36.4","8.1","44.9","12.8","1500000US240037306031","Block Group 1, Census Tract 7306.03, Anne Arundel County, Maryland"
"38.0","3.2","38.0","5.8","38.1","6.1","1500000US240037306032","Block Group 2, Census Tract 7306.03, Anne Arundel County, Maryland"
"45.4","7.8","42.1","8.3","52.0","12.0","1500000US240037306051","Block Group 1, Census Tract 7306.05, Anne Arundel County, Maryland"
"42.0","4.1","42.0","6.6","42.1","5.7","1500000US240037306061","Block Group 1, Census Tract 7306.06, Anne Arundel County, Maryland"
"41.5","6.0","42.0","3.6","40.7","10.8","1500000US240037306062","Block Group 2, Census Tract 7306.06, Anne Arundel County, Maryland"
"31.7","5.6","30.2","25.1","31.8","7.2","1500000US240037306063","Block Group 3, Census Tract 7306.06, Anne Arundel County, Maryland"
"61.6","18.2","62.0","34.3","57.5","16.4","1500000US240037307011","Block Group 1, Census Tract 7307.01, Anne Arundel County, Maryland"
"47.2","5.4","48.0","15.7","46.5","16.2","1500000US240037307012","Block Group 2, Census Tract 7307.01, Anne Arundel County, Maryland"
"49.0","18.8","29.8","29.8","53.5","6.9","1500000US240037307013","Block Group 3, Census Tract 7307.01, Anne Arundel County, Maryland"
"47.2","2.2","48.0","3.7","46.0","7.0","1500000US240037307021","Block Group 1, Census Tract 7307.02, Anne Arundel County, Maryland"
"53.2","28.4","68.2","31.2","33.4","30.7","1500000US240037307022","Block Group 2, Census Tract 7307.02, Anne Arundel County, Maryland"
"37.2","3.7","32.5","7.1","41.7","8.3","1500000US240037307023","Block Group 3, Census Tract 7307.02, Anne Arundel County, Maryland"
"48.1","3.2","47.0","5.3","48.2","3.5","1500000US240037308001","Block Group 1, Census Tract 7308, Anne Arundel County, Maryland"
"45.3","9.3","46.9","8.7","43.0","9.5","1500000US240037309011","Block Group 1, Census Tract 7309.01, Anne Arundel County, Maryland"
"45.4","7.7","42.1","6.2","50.7","7.2","1500000US240037309012","Block Group 2, Census Tract 7309.01, Anne Arundel County, Maryland"
"30.3","7.1","30.8","8.0","28.3","12.3","1500000US240037309013","Block Group 3, Census Tract 7309.01, Anne Arundel County, Maryland"
"50.2","1.9","50.0","1.9","50.9","3.0","1500000US240037309021","Block Group 1, Census Tract 7309.02, Anne Arundel County, Maryland"
"50.4","9.7","47.0","13.9","54.4","13.0","1500000US240037309022","Block Group 2, Census Tract 7309.02, Anne Arundel County, Maryland"
