"B11006_001E","B11006_001M","B11006_002E","B11006_002M","B11006_003E","B11006_003M","B11006_004E","B11006_004M","B11006_005E","B11006_005M","B11006_006E","B11006_006M","B11006_007E","B11006_007M","B11006_008E","B11006_008M","B11006_009E","B11006_009M","B11006_010E","B11006_010M","B11006_011E","B11006_011M","B11006_012E","B11006_012M","B11006_013E","B11006_013M","B11006_014E","B11006_014M","B11006_015E","B11006_015M","GEO_ID","NAME"
"363","48","182","43","117","33","96","30","21","18","0","12","21","18","65","38","181","50","140","45","110","40","30","21","5","7","25","21","41","27","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"324","62","146","52","98","36","98","36","0","12","0","12","0","12","48","35","178","63","167","58","153","58","14","21","0","12","14","21","11","16","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"798","104","430","83","293","80","251","77","42","33","10","15","32","32","137","48","368","102","321","102","254","103","67","51","15","22","52","52","47","32","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"512","100","254","51","172","45","123","45","49","35","28","28","21","19","82","34","258","102","205","96","94","51","111","86","48","60","63","62","53","46","1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland"
"697","56","341","47","179","41","142","34","37","30","11","12","26","27","162","37","356","55","239","55","156","36","83","54","43","37","40","41","117","53","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"780","75","390","62","304","63","255","57","49","26","31","22","18","18","86","36","390","83","273","80","177","61","96","50","36","23","60","44","117","55","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"224","37","117","33","61","28","54","26","7","10","7","10","0","12","56","25","107","29","76","26","59","22","17","15","7","11","10","11","31","21","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"250","54","88","28","46","22","42","21","4","6","0","12","4","6","42","21","162","56","113","53","83","48","30","29","0","12","30","29","49","30","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"276","60","120","34","87","33","67","30","20","17","15","16","5","8","33","18","156","56","131","53","103","36","28","39","24","38","4","7","25","27","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"704","71","279","41","161","27","141","27","20","13","5","7","15","11","118","41","425","62","241","44","183","36","58","34","21","25","37","25","184","59","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
"221","75","51","53","37","46","37","46","0","12","0","12","0","12","14","22","170","76","143","70","130","64","13","23","13","23","0","12","27","40","1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland"
"471","112","89","60","35","41","35","41","0","12","0","12","0","12","54","44","382","121","218","106","118","73","100","81","19","33","81","77","164","100","1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland"
"697","112","335","84","254","82","142","73","112","81","42","63","70","52","81","50","362","104","305","101","247","95","58","49","12","20","46","45","57","73","1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland"
"825","154","302","120","25","30","13","23","12","20","0","12","12","20","277","122","523","149","216","118","125","81","91","87","14","23","77","83","307","156","1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland"
"747","127","243","61","122","45","106","40","16","19","7","12","9","15","121","46","504","128","264","80","166","63","98","77","16","20","82","68","240","116","1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland"
"402","106","100","40","39","29","39","29","0","12","0","12","0","12","61","37","302","103","141","73","128","69","13","20","0","12","13","20","161","67","1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland"
"308","107","52","49","9","18","0","12","9","18","9","18","0","12","43","40","256","111","22","24","22","24","0","12","0","12","0","12","234","113","1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland"
"557","65","243","61","167","44","138","42","29","25","9","14","20","21","76","44","314","55","223","58","192","58","31","24","20","22","11","16","91","45","1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland"
"565","72","320","54","193","51","142","46","51","29","9","8","42","28","127","47","245","58","180","52","141","47","39","28","18","20","21","21","65","51","1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland"
"736","112","278","98","170","93","150","89","20","31","0","12","20","31","108","64","458","124","269","111","184","97","85","59","9","15","76","61","189","90","1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland"
"1076","128","431","104","286","94","221","77","65","76","0","12","65","76","145","70","645","139","533","125","357","87","176","119","0","12","176","119","112","83","1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland"
"471","96","292","77","179","69","164","67","15","27","0","12","15","27","113","67","179","81","148","71","131","68","17","26","17","26","0","12","31","36","1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland"
"783","95","353","65","235","61","220","61","15","11","0","12","15","11","118","37","430","76","339","79","245","63","94","52","61","50","33","20","91","38","1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland"
"510","82","262","61","173","57","156","58","17","14","13","13","4","6","89","33","248","66","132","53","95","50","37","26","16","17","21","20","116","52","1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland"
"454","75","194","49","104","42","104","42","0","12","0","12","0","12","90","39","260","81","178","69","178","69","0","12","0","12","0","12","82","58","1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland"
"585","87","252","64","100","46","46","33","54","45","0","12","54","45","152","55","333","80","265","66","188","58","77","39","43","37","34","23","68","40","1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland"
"554","81","328","58","188","48","161","43","27","22","19","19","8","12","140","44","226","69","175","59","110","48","65","41","18","18","47","38","51","44","1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland"
"290","44","142","43","99","33","99","33","0","12","0","12","0","12","43","33","148","47","114","43","114","43","0","12","0","12","0","12","34","39","1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland"
"336","59","181","48","117","39","78","39","39","30","10","16","29","26","64","37","155","56","118","55","100","53","18","20","0","12","18","20","37","29","1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland"
"330","53","202","56","92","45","59","33","33","36","10","15","23","32","110","47","128","36","110","34","101","35","9","14","9","14","0","12","18","18","1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland"
"501","61","223","47","203","49","187","49","16","18","7","12","9","14","20","21","278","71","270","69","241","67","29","25","0","12","29","25","8","15","1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland"
"1284","152","391","92","126","69","126","69","0","12","0","12","0","12","265","89","893","162","615","153","447","160","168","73","34","35","134","63","278","130","1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland"
"334","76","208","60","136","57","117","51","19","29","0","12","19","29","72","46","126","61","126","61","49","40","77","48","38","42","39","39","0","12","1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland"
"759","120","178","70","131","60","92","60","39","38","11","19","28","33","47","43","581","151","425","139","312","128","113","91","97","89","16","27","156","86","1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland"
"826","145","239","80","155","68","126","63","29","35","0","12","29","35","84","60","587","160","360","127","275","133","85","64","48","49","37","43","227","109","1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland"
"923","149","398","112","289","105","262","100","27","42","0","12","27","42","109","82","525","140","525","140","434","121","91","83","49","66","42","49","0","12","1500000US240037012001","Block Group 1, Census Tract 7012, Anne Arundel County, Maryland"
"527","110","286","92","209","84","188","80","21","33","0","12","21","33","77","51","241","101","219","100","206","100","13","21","13","21","0","12","22","26","1500000US240037012002","Block Group 2, Census Tract 7012, Anne Arundel County, Maryland"
"775","152","269","92","146","77","109","58","37","42","0","12","37","42","123","71","506","140","341","112","268","103","73","60","11","19","62","57","165","109","1500000US240037012003","Block Group 3, Census Tract 7012, Anne Arundel County, Maryland"
"886","149","186","98","158","104","143","101","15","25","15","25","0","12","28","31","700","143","628","151","578","144","50","53","38","52","12","19","72","64","1500000US240037012004","Block Group 4, Census Tract 7012, Anne Arundel County, Maryland"
"570","107","337","94","284","92","235","83","49","49","0","12","49","49","53","41","233","98","233","98","225","97","8","13","8","13","0","12","0","12","1500000US240037013001","Block Group 1, Census Tract 7013, Anne Arundel County, Maryland"
"705","116","231","88","127","73","110","68","17","26","0","12","17","26","104","62","474","113","371","111","362","108","9","14","0","12","9","14","103","88","1500000US240037013002","Block Group 2, Census Tract 7013, Anne Arundel County, Maryland"
"417","106","237","93","220","95","174","86","46","53","0","12","46","53","17","27","180","73","180","73","154","66","26","32","0","12","26","32","0","12","1500000US240037013003","Block Group 3, Census Tract 7013, Anne Arundel County, Maryland"
"966","146","400","127","318","121","318","121","0","12","0","12","0","12","82","58","566","153","403","142","293","138","110","85","8","12","102","83","163","83","1500000US240037013004","Block Group 4, Census Tract 7013, Anne Arundel County, Maryland"
"403","75","221","59","154","52","133","51","21","24","0","12","21","24","67","38","182","77","106","57","57","52","49","36","12","20","37","33","76","73","1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland"
"881","85","391","83","324","80","281","76","43","27","13","16","30","23","67","37","490","87","427","78","294","70","133","67","79","60","54","37","63","44","1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland"
"1068","120","473","122","425","123","366","124","59","54","0","12","59","54","48","36","595","139","528","135","416","120","112","105","22","34","90","104","67","53","1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland"
"277","61","129","59","102","56","102","56","0","12","0","12","0","12","27","30","148","56","82","38","73","39","9","16","0","12","9","16","66","48","1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland"
"614","126","264","117","110","57","110","57","0","12","0","12","0","12","154","102","350","112","283","113","211","82","72","86","53","81","19","29","67","45","1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland"
"504","109","173","62","143","66","124","58","19","30","0","12","19","30","30","32","331","126","214","93","193","97","21","31","21","31","0","12","117","103","1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland"
"222","66","60","33","45","23","45","23","0","12","0","12","0","12","15","23","162","66","111","62","83","56","28","31","13","21","15","23","51","55","1500000US240037021005","Block Group 5, Census Tract 7021, Anne Arundel County, Maryland"
"768","63","315","57","270","58","251","53","19","22","0","12","19","22","45","30","453","73","415","72","374","64","41","34","23","26","18","20","38","31","1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland"
"764","72","294","63","185","70","178","68","7","12","0","12","7","12","109","57","470","85","334","68","293","70","41","31","10","16","31","27","136","68","1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland"
"860","105","414","75","348","76","324","75","24","27","13","20","11","19","66","45","446","116","315","113","188","90","127","75","60","47","67","66","131","90","1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland"
"1034","126","288","85","139","63","119","61","20","31","0","12","20","31","149","67","746","129","405","87","188","100","217","92","0","12","217","92","341","115","1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland"
"469","84","180","57","109","49","109","49","0","12","0","12","0","12","71","45","289","96","289","96","264","94","25","42","0","12","25","42","0","12","1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland"
"935","141","316","119","305","117","289","114","16","26","16","26","0","12","11","17","619","121","477","121","344","111","133","82","52","48","81","66","142","67","1500000US240037022061","Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland"
"787","132","265","131","106","99","82","93","24","30","14","24","10","16","159","89","522","140","295","108","213","101","82","59","0","12","82","59","227","122","1500000US240037022062","Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland"
"589","110","48","58","0","12","0","12","0","12","0","12","0","12","48","58","541","108","507","109","371","116","136","74","0","12","136","74","34","34","1500000US240037022063","Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland"
"1884","149","233","89","98","57","30","32","68","50","29","31","39","37","135","65","1651","132","1239","168","842","148","397","171","251","133","146","108","412","130","1500000US240037022081","Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland"
"775","125","301","92","282","93","171","65","111","88","77","86","34","31","19","24","474","114","416","106","337","101","79","79","66","76","13","21","58","45","1500000US240037022082","Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland"
"431","54","93","38","93","38","84","38","9","14","0","12","9","14","0","12","338","63","320","67","267","69","53","54","33","50","20","21","18","21","1500000US240037022091","Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland"
"435","71","131","55","80","45","71","43","9","16","0","12","9","16","51","33","304","69","294","67","243","64","51","35","18","20","33","30","10","15","1500000US240037022092","Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland"
"578","70","96","50","71","44","71","44","0","12","0","12","0","12","25","24","482","78","344","77","279","73","65","30","10","15","55","25","138","60","1500000US240037022093","Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland"
"284","78","61","38","40","33","40","33","0","12","0","12","0","12","21","23","223","82","204","86","196","85","8","14","0","12","8","14","19","22","1500000US240037023001","Block Group 1, Census Tract 7023, Anne Arundel County, Maryland"
"600","71","276","62","237","61","206","61","31","27","9","14","22","23","39","29","324","72","315","72","308","72","7","11","0","12","7","11","9","14","1500000US240037023002","Block Group 2, Census Tract 7023, Anne Arundel County, Maryland"
"545","72","271","65","216","68","179","66","37","36","0","12","37","36","55","34","274","56","254","56","254","56","0","12","0","12","0","12","20","21","1500000US240037023003","Block Group 3, Census Tract 7023, Anne Arundel County, Maryland"
"592","82","276","65","178","54","138","49","40","33","0","12","40","33","98","47","316","83","217","61","181","60","36","29","8","13","28","26","99","66","1500000US240037023004","Block Group 4, Census Tract 7023, Anne Arundel County, Maryland"
"794","116","249","86","153","68","121","62","32","38","0","12","32","38","96","61","545","137","286","104","214","87","72","61","0","12","72","61","259","122","1500000US240037024021","Block Group 1, Census Tract 7024.02, Anne Arundel County, Maryland"
"1613","144","798","126","454","106","427","104","27","37","12","20","15","23","344","130","815","159","370","100","253","88","117","76","64","55","53","47","445","138","1500000US240037024022","Block Group 2, Census Tract 7024.02, Anne Arundel County, Maryland"
"745","116","574","112","234","89","234","89","0","12","0","12","0","12","340","94","171","74","136","63","72","48","64","50","0","12","64","50","35","39","1500000US240037024023","Block Group 3, Census Tract 7024.02, Anne Arundel County, Maryland"
"408","105","125","56","89","60","64","41","25","41","25","41","0","12","36","38","283","114","254","99","150","60","104","82","59","88","45","68","29","53","1500000US240037025001","Block Group 1, Census Tract 7025, Anne Arundel County, Maryland"
"502","185","46","51","20","32","20","32","0","12","0","12","0","12","26","40","456","176","288","156","69","86","219","144","58","84","161","107","168","109","1500000US240037025002","Block Group 2, Census Tract 7025, Anne Arundel County, Maryland"
"803","163","241","95","225","96","128","72","97","72","0","12","97","72","16","26","562","147","432","143","218","89","214","116","0","12","214","116","130","108","1500000US240037025003","Block Group 3, Census Tract 7025, Anne Arundel County, Maryland"
"388","133","289","135","141","69","119","62","22","34","0","12","22","34","148","130","99","70","46","35","46","35","0","12","0","12","0","12","53","61","1500000US240037025004","Block Group 4, Census Tract 7025, Anne Arundel County, Maryland"
"228","95","92","56","51","45","51","45","0","12","0","12","0","12","41","31","136","101","58","50","35","37","23","36","0","12","23","36","78","86","1500000US240037026011","Block Group 1, Census Tract 7026.01, Anne Arundel County, Maryland"
"645","96","282","77","251","80","214","74","37","45","17","29","20","33","31","34","363","117","334","123","295","118","39","45","0","12","39","45","29","33","1500000US240037026012","Block Group 2, Census Tract 7026.01, Anne Arundel County, Maryland"
"312","73","125","54","64","43","64","43","0","12","0","12","0","12","61","39","187","68","154","66","139","60","15","25","0","12","15","25","33","27","1500000US240037026013","Block Group 3, Census Tract 7026.01, Anne Arundel County, Maryland"
"364","82","206","66","127","62","118","61","9","16","0","12","9","16","79","46","158","70","127","72","93","61","34","39","0","12","34","39","31","35","1500000US240037026014","Block Group 4, Census Tract 7026.01, Anne Arundel County, Maryland"
"562","117","118","54","68","44","68","44","0","12","0","12","0","12","50","34","444","130","299","118","150","81","149","81","21","32","128","74","145","105","1500000US240037026015","Block Group 5, Census Tract 7026.01, Anne Arundel County, Maryland"
"938","116","448","107","274","87","238","82","36","36","19","26","17","22","174","82","490","127","473","126","413","125","60","51","43","44","17","26","17","20","1500000US240037026021","Block Group 1, Census Tract 7026.02, Anne Arundel County, Maryland"
"996","153","394","88","181","69","181","69","0","12","0","12","0","12","213","83","602","158","426","138","390","131","36","41","0","12","36","41","176","123","1500000US240037026022","Block Group 2, Census Tract 7026.02, Anne Arundel County, Maryland"
"427","84","261","82","190","73","173","73","17","27","17","27","0","12","71","48","166","77","82","61","82","61","0","12","0","12","0","12","84","55","1500000US240037026023","Block Group 3, Census Tract 7026.02, Anne Arundel County, Maryland"
"412","83","158","59","48","41","48","41","0","12","0","12","0","12","110","57","254","83","86","54","55","39","31","39","14","22","17","32","168","78","1500000US240037027011","Block Group 1, Census Tract 7027.01, Anne Arundel County, Maryland"
"604","124","310","107","177","84","177","84","0","12","0","12","0","12","133","86","294","98","200","86","125","70","75","60","0","12","75","60","94","58","1500000US240037027012","Block Group 2, Census Tract 7027.01, Anne Arundel County, Maryland"
"1199","142","195","100","76","57","51","48","25","32","0","12","25","32","119","91","1004","165","346","142","320","141","26","30","0","12","26","30","658","176","1500000US240037027013","Block Group 3, Census Tract 7027.01, Anne Arundel County, Maryland"
"603","73","378","64","258","61","232","56","26","24","0","12","26","24","120","59","225","65","217","65","217","65","0","12","0","12","0","12","8","12","1500000US240037027021","Block Group 1, Census Tract 7027.02, Anne Arundel County, Maryland"
"846","88","413","80","318","79","302","77","16","18","8","13","8","13","95","51","433","86","323","80","290","78","33","32","0","12","33","32","110","62","1500000US240037027022","Block Group 2, Census Tract 7027.02, Anne Arundel County, Maryland"
"645","106","318","77","204","64","194","61","10","17","0","12","10","17","114","51","327","100","147","72","140","71","7","11","7","11","0","12","180","72","1500000US240037061011","Block Group 1, Census Tract 7061.01, Anne Arundel County, Maryland"
"599","96","205","78","123","66","111","64","12","18","12","18","0","12","82","53","394","93","214","68","163","56","51","48","0","12","51","48","180","77","1500000US240037061012","Block Group 2, Census Tract 7061.01, Anne Arundel County, Maryland"
"414","95","271","96","47","42","0","12","47","42","0","12","47","42","224","95","143","67","73","47","9","14","64","45","0","12","64","45","70","59","1500000US240037061013","Block Group 3, Census Tract 7061.01, Anne Arundel County, Maryland"
"890","189","240","82","58","45","46","41","12","22","0","12","12","22","182","81","650","164","357","131","282","145","75","71","23","29","52","66","293","107","1500000US240037063011","Block Group 1, Census Tract 7063.01, Anne Arundel County, Maryland"
"1016","154","504","127","73","50","56","42","17","24","0","12","17","24","431","131","512","145","284","124","139","67","145","109","12","22","133","106","228","111","1500000US240037063012","Block Group 2, Census Tract 7063.01, Anne Arundel County, Maryland"
"451","93","322","98","128","69","107","67","21","26","0","12","21","26","194","84","129","64","61","62","34","44","27","39","0","12","27","39","68","44","1500000US240037063013","Block Group 3, Census Tract 7063.01, Anne Arundel County, Maryland"
"805","99","322","72","129","56","129","56","0","12","0","12","0","12","193","57","483","117","180","72","97","61","83","47","66","48","17","20","303","92","1500000US240037063021","Block Group 1, Census Tract 7063.02, Anne Arundel County, Maryland"
"346","66","189","59","150","56","150","56","0","12","0","12","0","12","39","26","157","53","74","42","66","40","8","13","0","12","8","13","83","39","1500000US240037063022","Block Group 2, Census Tract 7063.02, Anne Arundel County, Maryland"
"481","76","283","62","201","54","161","54","40","31","12","18","28","24","82","36","198","65","113","55","111","56","2","7","0","12","2","7","85","42","1500000US240037063023","Block Group 3, Census Tract 7063.02, Anne Arundel County, Maryland"
"851","159","300","85","214","88","132","66","82","88","82","88","0","12","86","52","551","152","290","139","245","126","45","48","0","12","45","48","261","126","1500000US240037064011","Block Group 1, Census Tract 7064.01, Anne Arundel County, Maryland"
"930","187","312","106","120","66","39","35","81","57","12","21","69","53","192","109","618","183","416","162","298","178","118","105","16","25","102","102","202","121","1500000US240037064012","Block Group 2, Census Tract 7064.01, Anne Arundel County, Maryland"
