"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Family households","Margin of Error!!Total!!Family households","Estimate!!Total!!Family households!!2-person household","Margin of Error!!Total!!Family households!!2-person household","Estimate!!Total!!Family households!!3-person household","Margin of Error!!Total!!Family households!!3-person household","Estimate!!Total!!Family households!!4-person household","Margin of Error!!Total!!Family households!!4-person household","Estimate!!Total!!Family households!!5-person household","Margin of Error!!Total!!Family households!!5-person household","Estimate!!Total!!Family households!!6-person household","Margin of Error!!Total!!Family households!!6-person household","Estimate!!Total!!Family households!!7-or-more person household","Margin of Error!!Total!!Family households!!7-or-more person household","Estimate!!Total!!Nonfamily households","Margin of Error!!Total!!Nonfamily households","Estimate!!Total!!Nonfamily households!!1-person household","Margin of Error!!Total!!Nonfamily households!!1-person household","Estimate!!Total!!Nonfamily households!!2-person household","Margin of Error!!Total!!Nonfamily households!!2-person household","Estimate!!Total!!Nonfamily households!!3-person household","Margin of Error!!Total!!Nonfamily households!!3-person household","Estimate!!Total!!Nonfamily households!!4-person household","Margin of Error!!Total!!Nonfamily households!!4-person household","Estimate!!Total!!Nonfamily households!!5-person household","Margin of Error!!Total!!Nonfamily households!!5-person household","Estimate!!Total!!Nonfamily households!!6-person household","Margin of Error!!Total!!Nonfamily households!!6-person household","Estimate!!Total!!Nonfamily households!!7-or-more person household","Margin of Error!!Total!!Nonfamily households!!7-or-more person household","id","Geographic Area Name"
"623","113","556","112","223","101","106","70","167","88","38","46","0","12","22","32","67","47","55","45","12","18","0","12","0","12","0","12","0","12","0","12","1500000US240276040012","Block Group 2, Census Tract 6040.01, Howard County, Maryland"
"596","115","516","101","213","96","146","88","82","59","66","55","9","16","0","12","80","70","80","70","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276040013","Block Group 3, Census Tract 6040.01, Howard County, Maryland"
"471","64","401","81","179","72","114","62","82","70","26","30","0","12","0","12","70","58","20","32","50","49","0","12","0","12","0","12","0","12","0","12","1500000US240276040021","Block Group 1, Census Tract 6040.02, Howard County, Maryland"
"500","80","481","81","171","65","130","68","98","59","68","40","0","12","14","22","19","30","19","30","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276040022","Block Group 2, Census Tract 6040.02, Howard County, Maryland"
"1037","139","893","132","354","112","264","136","228","90","44","42","0","12","3","14","144","84","130","82","14","21","0","12","0","12","0","12","0","12","0","12","1500000US240276040023","Block Group 3, Census Tract 6040.02, Howard County, Maryland"
"638","91","638","91","199","75","171","87","179","75","53","41","14","22","22","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276040024","Block Group 4, Census Tract 6040.02, Howard County, Maryland"
"814","119","728","135","161","75","145","78","204","104","150","111","68","64","0","12","86","53","70","47","0","12","0","12","0","12","16","25","0","12","0","12","1500000US240276051021","Block Group 1, Census Tract 6051.02, Howard County, Maryland"
"765","101","765","101","194","89","232","88","228","85","30","35","67","65","14","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276051022","Block Group 2, Census Tract 6051.02, Howard County, Maryland"
"638","116","460","113","178","81","116","70","113","68","19","28","18","28","16","24","178","85","134","69","31","37","0","12","0","12","13","23","0","12","0","12","1500000US240276051023","Block Group 3, Census Tract 6051.02, Howard County, Maryland"
"572","97","447","107","126","58","102","84","125","72","56","44","38","38","0","12","125","73","86","60","39","42","0","12","0","12","0","12","0","12","0","12","1500000US240276051024","Block Group 4, Census Tract 6051.02, Howard County, Maryland"
"759","82","704","87","312","100","155","64","125","71","45","36","50","42","17","19","55","43","55","43","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276051031","Block Group 1, Census Tract 6051.03, Howard County, Maryland"
"914","90","811","95","331","85","166","72","155","66","104","67","38","33","17","28","103","48","86","46","17","20","0","12","0","12","0","12","0","12","0","12","1500000US240276051032","Block Group 2, Census Tract 6051.03, Howard County, Maryland"
"735","103","660","105","271","80","166","72","29","27","126","76","10","17","58","59","75","72","75","72","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276051041","Block Group 1, Census Tract 6051.04, Howard County, Maryland"
"773","95","721","103","255","87","161","70","100","65","60","48","97","58","48","58","52","51","34","44","18","26","0","12","0","12","0","12","0","12","0","12","1500000US240276051042","Block Group 2, Census Tract 6051.04, Howard County, Maryland"
"1206","164","461","126","127","65","189","92","63","58","38","54","44","68","0","12","745","174","617","150","128","96","0","12","0","12","0","12","0","12","0","12","1500000US240276054011","Block Group 1, Census Tract 6054.01, Howard County, Maryland"
"256","64","216","62","35","26","49","47","104","61","28","39","0","12","0","12","40","38","40","38","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276054012","Block Group 2, Census Tract 6054.01, Howard County, Maryland"
"618","129","268","121","172","92","96","80","0","12","0","12","0","12","0","12","350","105","256","98","94","61","0","12","0","12","0","12","0","12","0","12","1500000US240276054013","Block Group 3, Census Tract 6054.01, Howard County, Maryland"
"307","67","222","68","94","51","51","38","20","24","33","42","24","25","0","12","85","39","76","36","9","15","0","12","0","12","0","12","0","12","0","12","1500000US240276054014","Block Group 4, Census Tract 6054.01, Howard County, Maryland"
"473","150","212","102","89","60","87","66","23","42","0","12","0","12","13","23","261","135","261","135","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276054021","Block Group 1, Census Tract 6054.02, Howard County, Maryland"
"1210","170","522","122","313","106","141","78","39","41","29","31","0","12","0","12","688","142","618","146","70","64","0","12","0","12","0","12","0","12","0","12","1500000US240276054022","Block Group 2, Census Tract 6054.02, Howard County, Maryland"
"536","114","246","113","225","108","21","34","0","12","0","12","0","12","0","12","290","114","222","91","68","74","0","12","0","12","0","12","0","12","0","12","1500000US240276054023","Block Group 3, Census Tract 6054.02, Howard County, Maryland"
"1381","200","723","220","409","172","221","106","93","94","0","12","0","12","0","12","658","183","585","168","73","73","0","12","0","12","0","12","0","12","0","12","1500000US240276054024","Block Group 4, Census Tract 6054.02, Howard County, Maryland"
"676","100","543","99","356","92","76","54","69","81","20","30","22","30","0","12","133","74","79","59","54","51","0","12","0","12","0","12","0","12","0","12","1500000US240276055021","Block Group 1, Census Tract 6055.02, Howard County, Maryland"
