"B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M","GEO_ID","NAME"
"Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","id","Geographic Area Name"
"63355","18529","87083","30245","104913","27659","11058","5773","50700","19548","78011","6617","6513","3937","1500000US240317032211","Block Group 1, Census Tract 7032.21, Montgomery County, Maryland"
"61324","13189","75852","13023","81250","7941","-","**","55284","16894","71417","10468","14861","13017","1500000US240317032212","Block Group 2, Census Tract 7032.21, Montgomery County, Maryland"
"26610","7048","26250","6963","32083","25479","10858","2462","27022","15399","64231","30566","10895","3173","1500000US240317032213","Block Group 3, Census Tract 7032.21, Montgomery County, Maryland"
"24495","2489","25288","2479","24554","11257","26154","1448","13356","11922","38250","14341","6965","3663","1500000US240317033011","Block Group 1, Census Tract 7033.01, Montgomery County, Maryland"
"43267","27963","90556","57233","100275","18025","20938","3936","15739","9542","-","**","10313","5952","1500000US240317033012","Block Group 2, Census Tract 7033.01, Montgomery County, Maryland"
"43061","9909","50147","16881","51047","9347","-","**","40000","11848","44593","17962","-","**","1500000US240317033013","Block Group 3, Census Tract 7033.01, Montgomery County, Maryland"
"37321","6784","38636","18289","39886","32960","-","**","36875","5795","52841","47118","30345","26198","1500000US240317033014","Block Group 4, Census Tract 7033.01, Montgomery County, Maryland"
"52083","21981","62727","28921","83250","25768","13125","3961","42604","39882","62097","2155","13590","2568","1500000US240317033021","Block Group 1, Census Tract 7033.02, Montgomery County, Maryland"
"31964","16879","32833","17567","37024","33744","20904","10044","-","**","43611","29908","-","**","1500000US240317033022","Block Group 2, Census Tract 7033.02, Montgomery County, Maryland"
"25853","8034","27268","10863","34821","14282","6017","1526","18352","11873","33555","2376","9545","4588","1500000US240317033023","Block Group 3, Census Tract 7033.02, Montgomery County, Maryland"
"30849","3474","32297","2876","37745","8763","13675","9839","25776","9596","45583","5523","12325","10802","1500000US240317034011","Block Group 1, Census Tract 7034.01, Montgomery County, Maryland"
"30240","7871","24592","18157","45021","10148","-","**","30737","2272","32083","18681","11250","9383","1500000US240317034012","Block Group 2, Census Tract 7034.01, Montgomery County, Maryland"
"39112","12025","52653","13482","54464","16524","-","**","29044","15457","39375","12752","17939","2614","1500000US240317034013","Block Group 3, Census Tract 7034.01, Montgomery County, Maryland"
