"B11005_001E","B11005_001M","B11005_002E","B11005_002M","B11005_003E","B11005_003M","B11005_004E","B11005_004M","B11005_005E","B11005_005M","B11005_006E","B11005_006M","B11005_007E","B11005_007M","B11005_008E","B11005_008M","B11005_009E","B11005_009M","B11005_010E","B11005_010M","B11005_011E","B11005_011M","B11005_012E","B11005_012M","B11005_013E","B11005_013M","B11005_014E","B11005_014M","B11005_015E","B11005_015M","B11005_016E","B11005_016M","B11005_017E","B11005_017M","B11005_018E","B11005_018M","B11005_019E","B11005_019M","GEO_ID","NAME"
"233","53","17","21","17","21","17","21","0","12","0","12","0","12","0","12","0","12","0","12","216","54","142","53","114","53","28","25","0","12","28","25","74","41","19","23","55","31","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"558","100","212","86","212","86","115","52","97","67","29","45","68","50","0","12","0","12","0","12","346","73","107","40","82","37","25","18","0","12","25","18","239","73","82","43","157","67","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"381","100","69","46","57","41","8","12","49","40","0","12","49","40","12","19","0","12","12","19","312","90","111","46","79","43","32","28","10","15","22","24","201","92","90","79","111","49","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"638","93","110","50","110","50","38","34","72","48","18","28","54","41","0","12","0","12","0","12","528","99","143","63","97","56","46","38","10","16","36","34","385","104","154","77","231","85","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"254","71","23","31","23","31","23","31","0","12","0","12","0","12","0","12","0","12","0","12","231","70","92","39","92","39","0","12","0","12","0","12","139","64","89","55","50","35","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"883","112","282","102","282","102","143","89","139","75","55","44","84","61","0","12","0","12","0","12","601","92","342","84","249","69","93","51","0","12","93","51","259","66","77","38","182","59","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"317","84","90","46","90","46","82","44","8","14","0","12","8","14","0","12","0","12","0","12","227","80","74","51","74","51","0","12","0","12","0","12","153","72","95","63","58","37","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"803","105","193","65","193","65","69","40","124","53","6","10","118","55","0","12","0","12","0","12","610","92","205","69","162","62","43","30","4","8","39","31","405","107","116","67","289","105","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"675","109","255","76","255","76","153","66","102","65","0","12","102","65","0","12","0","12","0","12","420","105","148","63","90","49","58","44","0","12","58","44","272","100","164","81","108","70","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"447","65","128","54","128","54","81","37","47","39","8","11","39","37","0","12","0","12","0","12","319","52","149","42","134","38","15","14","0","12","15","14","170","62","123","60","47","26","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"417","77","231","63","231","63","59","39","172","57","30","28","142","50","0","12","0","12","0","12","186","52","69","34","42","27","27","21","7","11","20","18","117","45","42","31","75","33","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"569","103","172","75","153","78","66","57","87","67","30","47","57","47","19","21","19","21","0","12","397","82","216","71","160","62","56","32","20","22","36","24","181","74","93","65","88","42","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"580","120","49","44","49","44","20","31","29","35","0","12","29","35","0","12","0","12","0","12","531","108","99","74","68","70","31","22","0","12","31","22","432","94","231","94","201","69","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"657","78","100","34","100","34","78","38","22","17","0","12","22","17","0","12","0","12","0","12","557","81","127","51","93","39","34","32","12","12","22","29","430","80","220","67","210","57","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"650","82","225","73","225","73","201","74","24","35","0","12","24","35","0","12","0","12","0","12","425","69","208","47","198","48","10","12","0","12","10","12","217","62","100","56","117","38","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"324","77","120","76","120","76","93","78","27","32","9","19","18","23","0","12","0","12","0","12","204","59","99","46","73","42","26","22","0","12","26","22","105","43","55","35","50","34","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"252","65","53","49","53","49","48","48","5","9","0","12","5","9","0","12","0","12","0","12","199","58","151","43","141","41","10","15","10","15","0","12","48","46","31","41","17","21","1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland"
"545","54","136","40","136","40","83","34","53","31","14","13","39","31","0","12","0","12","0","12","409","51","204","48","195","47","9","13","9","13","0","12","205","46","120","40","85","31","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"363","48","104","39","104","39","81","33","23","20","5","7","18","19","0","12","0","12","0","12","259","44","153","37","125","34","28","21","0","12","28","21","106","46","56","37","50","26","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"324","62","123","58","123","58","109","52","14","21","0","12","14","21","0","12","0","12","0","12","201","58","142","51","142","51","0","12","0","12","0","12","59","35","43","34","16","19","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"798","104","150","68","150","68","93","52","57","48","15","22","42","49","0","12","0","12","0","12","648","97","464","100","412","99","52","37","10","15","42","35","184","58","37","29","147","49","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"512","100","105","69","105","69","51","36","54","60","0","12","54","60","0","12","0","12","0","12","407","88","272","74","166","49","106","70","76","67","30","25","135","55","53","45","82","34","1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland"
"697","56","152","50","152","50","83","25","69","53","33","34","36","40","0","12","0","12","0","12","545","64","266","45","215","43","51","33","21","19","30","27","279","64","103","52","176","49","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"780","75","165","63","158","63","100","48","58","45","13","16","45","42","7","10","7","10","0","12","615","74","419","67","332","65","87","37","54","31","33","24","196","67","98","44","98","50","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"224","37","38","22","38","22","31","20","7","10","0","12","7","10","0","12","0","12","0","12","186","38","99","34","82","30","17","16","14","15","3","5","87","31","45","24","42","22","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"250","54","76","35","76","35","46","35","30","29","0","12","30","29","0","12","0","12","0","12","174","50","83","39","79","39","4","6","0","12","4","6","91","35","51","30","40","21","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"276","60","68","44","68","44","44","22","24","38","24","38","0","12","0","12","0","12","0","12","208","48","150","42","126","40","24","18","15","16","9","10","58","32","33","28","25","20","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"704","71","185","40","155","37","130","34","25","26","0","12","25","26","30","45","30","45","0","12","519","61","247","46","194","39","53","31","26","26","27","17","272","61","149","43","123","45","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
"221","75","96","74","96","74","83","69","13","23","13","23","0","12","0","12","0","12","0","12","125","72","84","59","84","59","0","12","0","12","0","12","41","44","27","40","14","22","1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland"
"471","112","147","91","147","91","47","53","100","81","19","33","81","77","0","12","0","12","0","12","324","115","106","72","106","72","0","12","0","12","0","12","218","110","135","98","83","66","1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland"
"697","112","102","85","102","85","90","84","12","18","0","12","12","18","0","12","0","12","0","12","595","123","457","96","299","97","158","87","54","65","104","62","138","86","48","42","90","78","1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland"
"825","154","173","90","153","85","111","76","42","38","14","23","28","30","20","31","0","12","20","31","652","160","88","89","27","32","61","81","0","12","61","81","564","176","213","132","351","149","1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland"
"747","127","170","70","170","70","81","36","89","74","6","13","83","68","0","12","0","12","0","12","577","122","216","58","191","55","25","23","17","18","8","14","361","121","142","82","219","88","1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland"
"402","106","51","33","51","33","38","29","13","20","0","12","13","20","0","12","0","12","0","12","351","99","129","65","129","65","0","12","0","12","0","12","222","79","125","58","97","58","1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland"
"308","107","9","18","9","18","0","12","9","18","9","18","0","12","0","12","0","12","0","12","299","106","22","24","22","24","0","12","0","12","0","12","277","107","148","75","129","85","1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland"
"557","65","174","48","174","48","133","46","41","23","20","22","21","22","0","12","0","12","0","12","383","74","216","55","197","57","19","21","9","14","10","15","167","55","72","41","95","49","1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland"
"565","72","155","53","155","53","115","42","40","27","18","20","22","20","0","12","0","12","0","12","410","76","218","55","168","50","50","28","9","8","41","28","192","63","81","51","111","50","1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland"
"736","112","163","95","163","95","67","62","96","68","0","12","96","68","0","12","0","12","0","12","573","105","276","104","267","105","9","15","9","15","0","12","297","96","61","51","236","92","1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland"
"1076","128","357","111","357","111","188","76","169","109","0","12","169","109","0","12","0","12","0","12","719","122","462","104","390","90","72","79","0","12","72","79","257","100","117","74","140","71","1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland"
"471","96","84","57","84","57","67","55","17","26","17","26","0","12","0","12","0","12","0","12","387","93","243","84","228","82","15","27","0","12","15","27","144","75","50","39","94","60","1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland"
"783","95","279","82","276","82","214","65","62","50","41","48","21","17","3","5","0","12","3","5","504","63","298","59","251","59","47","21","20","15","27","15","206","53","89","35","117","43","1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland"
"510","82","88","31","85","30","48","24","37","26","16","18","21","20","3","4","3","4","0","12","422","81","220","68","203","69","17","14","13","13","4","6","202","61","126","54","76","27","1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland"
"454","75","133","64","133","64","133","64","0","12","0","12","0","12","0","12","0","12","0","12","321","59","149","50","149","50","0","12","0","12","0","12","172","60","70","49","102","57","1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland"
"585","87","180","57","180","57","111","55","69","33","27","24","42","24","0","12","0","12","0","12","405","71","185","64","123","49","62","50","16","27","46","42","220","62","106","44","114","46","1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland"
"554","81","105","54","105","54","56","40","49","39","7","11","42","37","0","12","0","12","0","12","449","76","258","56","215","51","43","25","30","22","13","15","191","57","94","47","97","37","1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland"
"290","44","107","41","107","41","107","41","0","12","0","12","0","12","0","12","0","12","0","12","183","49","106","37","106","37","0","12","0","12","0","12","77","48","44","42","33","29","1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland"
"336","59","104","52","104","52","85","49","19","22","10","16","9","14","0","12","0","12","0","12","232","56","131","38","93","40","38","29","0","12","38","29","101","46","60","37","41","28","1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland"
"330","53","85","41","85","41","66","35","19","21","19","21","0","12","0","12","0","12","0","12","245","54","117","44","94","39","23","32","0","12","23","32","128","45","28","25","100","48","1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland"
"501","61","235","62","235","62","216","61","19","21","0","12","19","21","0","12","0","12","0","12","266","57","238","53","212","52","26","23","7","12","19","21","28","27","18","21","10","16","1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland"
"1284","152","363","124","363","124","265","120","98","63","34","35","64","53","0","12","0","12","0","12","921","140","378","113","308","109","70","57","0","12","70","57","543","142","184","84","359","124","1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland"
"334","76","60","49","60","49","12","22","48","49","26","38","22","30","0","12","0","12","0","12","274","69","202","75","154","64","48","42","12","19","36","39","72","46","57","40","15","23","1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland"
"759","120","283","140","283","140","221","118","62","75","46","71","16","27","0","12","0","12","0","12","476","116","273","98","183","80","90","67","62","59","28","33","203","89","109","79","94","62","1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland"
"826","145","275","112","275","112","190","101","85","64","48","49","37","43","0","12","0","12","0","12","551","135","240","104","211","98","29","35","0","12","29","35","311","117","216","116","95","65","1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland"
"923","149","291","121","291","121","256","114","35","60","35","60","0","12","0","12","0","12","0","12","632","134","523","118","440","109","83","70","14","24","69","65","109","82","85","80","24","26","1500000US240037012001","Block Group 1, Census Tract 7012, Anne Arundel County, Maryland"
"527","110","112","64","112","64","112","64","0","12","0","12","0","12","0","12","0","12","0","12","415","111","316","110","282","104","34","40","13","21","21","33","99","54","49","41","50","40","1500000US240037012002","Block Group 2, Census Tract 7012, Anne Arundel County, Maryland"
"775","152","235","85","235","85","162","72","73","60","11","19","62","57","0","12","0","12","0","12","540","149","252","108","215","92","37","42","0","12","37","42","288","124","197","120","91","65","1500000US240037012003","Block Group 3, Census Tract 7012, Anne Arundel County, Maryland"
"886","149","403","121","403","121","353","116","50","53","38","52","12","19","0","12","0","12","0","12","483","157","383","159","368","162","15","25","15","25","0","12","100","73","57","48","43","51","1500000US240037012004","Block Group 4, Census Tract 7012, Anne Arundel County, Maryland"
"570","107","192","95","192","95","192","95","0","12","0","12","0","12","0","12","0","12","0","12","378","85","325","88","268","84","57","49","8","13","49","49","53","41","16","24","37","34","1500000US240037013001","Block Group 1, Census Tract 7013, Anne Arundel County, Maryland"
"705","116","264","86","250","83","250","83","0","12","0","12","0","12","14","22","14","22","0","12","441","121","248","106","222","103","26","28","0","12","26","28","193","110","66","69","127","87","1500000US240037013002","Block Group 2, Census Tract 7013, Anne Arundel County, Maryland"
"417","106","107","60","107","60","94","54","13","22","0","12","13","22","0","12","0","12","0","12","310","99","293","101","234","89","59","57","0","12","59","57","17","27","0","12","17","27","1500000US240037013003","Block Group 3, Census Tract 7013, Anne Arundel County, Maryland"
"966","146","334","147","334","147","243","133","91","81","0","12","91","81","0","12","0","12","0","12","632","128","387","118","368","116","19","22","8","12","11","18","245","101","99","76","146","88","1500000US240037013004","Block Group 4, Census Tract 7013, Anne Arundel County, Maryland"
"403","75","89","53","89","53","40","48","49","36","12","20","37","33","0","12","0","12","0","12","314","81","171","52","150","50","21","24","0","12","21","24","143","80","103","77","40","28","1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland"
"881","85","301","57","301","57","200","62","101","42","48","36","53","38","0","12","0","12","0","12","580","89","450","92","375","79","75","56","44","50","31","25","130","58","58","43","72","43","1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland"
"1068","120","296","82","296","82","272","84","24","28","0","12","24","28","0","12","0","12","0","12","772","134","657","137","510","117","147","117","22","34","125","115","115","64","66","50","49","45","1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland"
"277","61","120","60","120","60","111","60","9","16","0","12","9","16","0","12","0","12","0","12","157","67","64","50","64","50","0","12","0","12","0","12","93","57","39","38","54","43","1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland"
"614","126","170","102","170","102","98","58","72","86","53","81","19","29","0","12","0","12","0","12","444","114","223","77","223","77","0","12","0","12","0","12","221","108","153","110","68","48","1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland"
"504","109","134","73","134","73","115","76","19","30","0","12","19","30","0","12","0","12","0","12","370","124","223","96","202","92","21","31","21","31","0","12","147","97","10","19","137","95","1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland"
"222","66","86","56","86","56","71","51","15","23","0","12","15","23","0","12","0","12","0","12","136","60","70","24","57","23","13","21","13","21","0","12","66","59","47","54","19","26","1500000US240037021005","Block Group 5, Census Tract 7021, Anne Arundel County, Maryland"
"768","63","335","62","335","62","294","52","41","34","23","26","18","20","0","12","0","12","0","12","433","74","350","68","331","66","19","22","0","12","19","22","83","42","38","28","45","31","1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland"
"764","72","231","57","231","57","190","54","41","31","10","16","31","27","0","12","0","12","0","12","533","73","288","80","281","78","7","12","0","12","7","12","245","83","81","48","164","78","1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland"
"860","105","238","110","238","110","140","89","98","73","49","46","49","59","0","12","0","12","0","12","622","118","425","95","372","92","53","31","24","27","29","36","197","102","116","85","81","56","1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland"
"1034","126","395","88","395","88","178","100","217","92","0","12","217","92","0","12","0","12","0","12","639","125","149","74","129","67","20","31","0","12","20","31","490","121","281","104","209","90","1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland"
"469","84","274","94","274","94","249","93","25","42","0","12","25","42","0","12","0","12","0","12","195","57","124","53","124","53","0","12","0","12","0","12","71","45","23","28","48","36","1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland"
"935","141","330","112","330","112","299","116","31","35","31","35","0","12","0","12","0","12","0","12","605","127","452","122","334","101","118","79","37","42","81","66","153","70","46","47","107","54","1500000US240037022061","Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland"
"787","132","228","97","228","97","191","92","37","36","0","12","37","36","0","12","0","12","0","12","559","113","173","97","104","96","69","54","14","24","55","50","386","120","233","94","153","108","1500000US240037022062","Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland"
"589","110","369","100","369","100","259","100","110","63","0","12","110","63","0","12","0","12","0","12","220","90","138","57","112","50","26","39","0","12","26","39","82","70","64","72","18","22","1500000US240037022063","Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland"
"1884","149","843","174","843","174","424","135","419","174","271","134","148","95","0","12","0","12","0","12","1041","157","494","126","448","133","46","47","9","21","37","45","547","144","147","80","400","135","1500000US240037022081","Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland"
"775","125","400","130","400","130","254","97","146","125","122","122","24","28","0","12","0","12","0","12","375","84","298","84","254","83","44","37","21","31","23","26","77","45","0","12","77","45","1500000US240037022082","Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland"
"431","54","271","64","271","64","227","62","44","52","33","50","11","16","0","12","0","12","0","12","160","45","142","45","124","43","18","20","0","12","18","20","18","21","18","21","0","12","1500000US240037022091","Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland"
"435","71","208","69","208","69","157","62","51","35","18","20","33","30","0","12","0","12","0","12","227","64","166","61","157","59","9","16","0","12","9","16","61","33","10","15","51","33","1500000US240037022092","Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland"
"578","70","242","78","234","77","204","72","30","27","10","15","20","22","8","13","8","13","0","12","336","87","181","70","146","67","35","22","0","12","35","22","155","61","101","54","54","42","1500000US240037022093","Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland"
"284","78","104","54","104","54","104","54","0","12","0","12","0","12","0","12","0","12","0","12","180","89","140","86","132","85","8","14","0","12","8","14","40","32","10","15","30","28","1500000US240037023001","Block Group 1, Census Tract 7023, Anne Arundel County, Maryland"
"600","71","219","51","219","51","203","49","16","17","9","14","7","11","0","12","0","12","0","12","381","64","333","69","311","68","22","23","0","12","22","23","48","33","27","24","21","24","1500000US240037023002","Block Group 2, Census Tract 7023, Anne Arundel County, Maryland"
"545","72","206","48","206","48","197","46","9","16","0","12","9","16","0","12","0","12","0","12","339","70","264","76","236","74","28","32","0","12","28","32","75","41","10","16","65","36","1500000US240037023003","Block Group 3, Census Tract 7023, Anne Arundel County, Maryland"
"592","82","132","52","132","52","96","48","36","29","8","13","28","26","0","12","0","12","0","12","460","89","263","61","223","61","40","33","0","12","40","33","197","75","138","68","59","37","1500000US240037023004","Block Group 4, Census Tract 7023, Anne Arundel County, Maryland"
"794","116","171","71","171","71","152","64","19","31","0","12","19","31","0","12","0","12","0","12","623","117","268","103","183","87","85","64","0","12","85","64","355","112","217","104","138","77","1500000US240037024021","Block Group 1, Census Tract 7024.02, Anne Arundel County, Maryland"
"1613","144","265","82","231","71","186","68","45","46","27","32","18","29","34","38","16","27","18","28","1348","148","593","138","494","128","99","68","49","47","50","45","755","177","314","120","441","149","1500000US240037024022","Block Group 2, Census Tract 7024.02, Anne Arundel County, Maryland"
"745","116","82","54","82","54","32","34","50","45","0","12","50","45","0","12","0","12","0","12","663","119","288","95","274","94","14","24","0","12","14","24","375","99","159","80","216","81","1500000US240037024023","Block Group 3, Census Tract 7024.02, Anne Arundel County, Maryland"
"408","105","222","107","222","107","93","66","129","89","84","96","45","68","0","12","0","12","0","12","186","78","121","63","121","63","0","12","0","12","0","12","65","59","47","54","18","32","1500000US240037025001","Block Group 1, Census Tract 7025, Anne Arundel County, Maryland"
"502","185","142","147","142","147","0","12","142","147","58","84","84","112","0","12","0","12","0","12","360","141","166","106","89","94","77","74","0","12","77","74","194","117","99","90","95","79","1500000US240037025002","Block Group 2, Census Tract 7025, Anne Arundel County, Maryland"
"803","163","411","125","378","130","159","83","219","124","0","12","219","124","33","50","33","50","0","12","392","136","279","112","187","92","92","70","0","12","92","70","113","95","0","12","113","95","1500000US240037025003","Block Group 3, Census Tract 7025, Anne Arundel County, Maryland"
"388","133","53","40","53","40","53","40","0","12","0","12","0","12","0","12","0","12","0","12","335","137","134","70","112","63","22","34","0","12","22","34","201","139","97","110","104","95","1500000US240037025004","Block Group 4, Census Tract 7025, Anne Arundel County, Maryland"
"228","95","58","50","58","50","35","37","23","36","0","12","23","36","0","12","0","12","0","12","170","91","51","45","51","45","0","12","0","12","0","12","119","87","79","86","40","35","1500000US240037026011","Block Group 1, Census Tract 7026.01, Anne Arundel County, Maryland"
"645","96","175","97","175","97","160","97","15","25","0","12","15","25","0","12","0","12","0","12","470","86","410","96","349","87","61","57","17","29","44","48","60","46","31","35","29","33","1500000US240037026012","Block Group 2, Census Tract 7026.01, Anne Arundel County, Maryland"
"312","73","104","50","104","50","104","50","0","12","0","12","0","12","0","12","0","12","0","12","208","62","114","54","99","46","15","25","0","12","15","25","94","49","46","35","48","41","1500000US240037026013","Block Group 3, Census Tract 7026.01, Anne Arundel County, Maryland"
