"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_001MA","B25004_001EA","B25004_002E","B25004_002EA","B25004_002M","B25004_002MA","B25004_003E","B25004_003EA","B25004_003M","B25004_003MA","B25004_004E","B25004_004M","B25004_004MA","B25004_004EA","B25004_005E","B25004_005M","B25004_005MA","B25004_005EA","B25004_006E","B25004_006EA","B25004_006M","B25004_006MA","B25004_007E","B25004_007M","B25004_007MA","B25004_007EA","B25004_008E","B25004_008M","B25004_008MA","B25004_008EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!For rent","Annotation of Estimate!!Total!!For rent","Margin of Error!!Total!!For rent","Annotation of Margin of Error!!Total!!For rent","Estimate!!Total!!Rented, not occupied","Annotation of Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied","Annotation of Margin of Error!!Total!!Rented, not occupied","Estimate!!Total!!For sale only","Margin of Error!!Total!!For sale only","Annotation of Margin of Error!!Total!!For sale only","Annotation of Estimate!!Total!!For sale only","Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Annotation of Margin of Error!!Total!!Sold, not occupied","Annotation of Estimate!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Annotation of Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use","Annotation of Margin of Error!!Total!!For seasonal, recreational, or occasional use","Estimate!!Total!!For migrant workers","Margin of Error!!Total!!For migrant workers","Annotation of Margin of Error!!Total!!For migrant workers","Annotation of Estimate!!Total!!For migrant workers","Estimate!!Total!!Other vacant","Margin of Error!!Total!!Other vacant","Annotation of Margin of Error!!Total!!Other vacant","Annotation of Estimate!!Total!!Other vacant",
"1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland","52","45","null","null","0","null","12","null","0","null","12","null","7","11","null","null","0","12","null","null","0","null","12","null","0","12","null","null","45","44","null","null",
"1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland","111","58","null","null","15","null","24","null","0","null","12","null","46","40","null","null","0","12","null","null","0","null","12","null","0","12","null","null","50","43","null","null",
"1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland","56","52","null","null","0","null","12","null","0","null","12","null","0","12","null","null","18","28","null","null","0","null","12","null","0","12","null","null","38","43","null","null",
"1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland","25","29","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","25","29","null","null",
"1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland","146","61","null","null","14","null","22","null","0","null","12","null","14","22","null","null","0","12","null","null","11","null","17","null","0","12","null","null","107","55","null","null",
"1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland","19","28","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","19","28","null","null",
"1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland","5","8","null","null","0","null","12","null","0","null","12","null","5","8","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland","94","45","null","null","0","null","12","null","0","null","12","null","36","36","null","null","0","12","null","null","19","null","28","null","0","12","null","null","39","34","null","null",
"1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland","94","79","null","null","0","null","12","null","0","null","12","null","12","19","null","null","0","12","null","null","50","null","59","null","0","12","null","null","32","52","null","null",
"1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland","162","119","null","null","0","null","12","null","40","null","64","null","0","12","null","null","41","67","null","null","0","null","12","null","0","12","null","null","81","88","null","null",
"1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland","15","24","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","15","24","null","null",
"1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland","151","82","null","null","51","null","56","null","0","null","12","null","41","46","null","null","0","12","null","null","0","null","12","null","0","12","null","null","59","49","null","null",
"1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland","47","51","null","null","23","null","36","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","24","38","null","null",
"1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland","215","89","null","null","110","null","74","null","23","null","37","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","82","55","null","null",
"1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland","94","78","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","33","null","49","null","0","12","null","null","61","65","null","null",
"1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland","83","84","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","83","84","null","null",
"1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland","28","43","null","null","0","null","12","null","0","null","12","null","28","43","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland","78","78","null","null","0","null","12","null","0","null","12","null","31","50","null","null","0","12","null","null","10","null","16","null","0","12","null","null","37","58","null","null",
"1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland","145","77","null","null","9","null","14","null","0","null","12","null","0","12","null","null","0","12","null","null","4","null","5","null","0","12","null","null","132","75","null","null",
